t,h,label,relatedness_score,sentence_h_en,sentence_t_en
امرأة قطعت القرنبيط,لا يوجد البروكلي قطعته امرأة,2,3.4,There is no woman cutting broccoli,A woman is cutting broccoli
لا توجد فتاة تضحك ولا توجد فتاة أخرى تشاهدها,فتاتان تضحكان وتراقبهما فتيات أخريات,2,3.2,Two girls are laughing and other girls are watching them,There is no girl laughing and there is no other girl watching
كان هناك طفل صغير  يرتدي قميص مخطط ينزلق من أنبوب الأخضر,صبي صغير  يرتدي قميص مخطط ينزلق من أنبوب الأخضر,1,4.9,A small boy in a striped shirt is sliding out of a green tube,A little boy in a striped shirt is sliding out of a green tube
وحيد القرن يرعى على العشب,الرجل تلعب لعبة على العشب,0,1.0,The man is playing a game on a lawn,The rhino is grazing on the grass
رجل بلا قميص يرافق حصانًا يسحب عربة على طول الطريق,رجل بلا قميص يرافق حصانًا يسحب عربة على طريق ممهد,1,4.9,A shirtless man is escorting a horse that is pulling a carriage along a paved road,A shirtless man is escorting a horse that is pulling a carriage along a road
ويجري سحب ذيل الكلب من قبل قرد,قرد  أغاظ الكلب في حديقة الحيوان,0,4.3,A monkey is teasing a dog at the zoo,A dog's tail is being pulled by a monkey
وقالت امرأة أنها أطلقت النار,امرأة تطلق النار من بندقية,1,4.2,A woman is firing a rifle,A woman is firing a weapon
حيوان ينظر حوله,كلب ينظر حوله,1,4.6,A dog is looking around,An animal is looking around
رجلين يتقاتلون في المراعي للأبقار,رجلين يتقاتلون في مراعي الأبقار,1,4.9,Two men are fighting in a cow pasture,Two men are fighting in a pasture for cows
رجل يركض في الطريق,لا يوجد رجل يركض في الطريق,2,3.8,The runners are racing around a track,Runners are not taking part in the race
ليس هناك شخص يركب جت سكي في موجات,شخص يركب زلاجة مائية في الأمواج,2,4.0,A person is riding a jetski in the waves,There is no person riding a jetski in the waves
الرجال يحزمون الحقائب في صندوق سيارة,الرجال يضعون بعناية حقائب في صندوق سيارة,1,4.5,The men are carefully putting suitcases into the trunk of a car,The men are packing suitcases into the trunk of a car
رجل يعزف على الغيتار,وليس هناك رجل يعزف على الغيتار,2,2.8,There is no man playing a guitar,A man is playing a guitar
رجل يؤدي خدعة على لوح تزلج في الماء,راكب يتصفح الموجة,0,4.4,A rider is surfing the wave,A man is performing a trick on a surfboard in the water
رجل يأكل شرائح البصل,يتم قطع البصل من قبل رجل,0,3.2,An onion is being cut by a man,A man is eating onion slices
رجل يؤدي خدعة  على دراجة خضراء,وليس هناك رجل يرتدي ملابس سوداء ويركب الدراجة  الخضراء,0,3.4,There is no man dressed in black and riding a green bike,A man is performing a trick on a green bicycle
والطفل يهتف  طفل آخر,طفل يعطس  ويخيف طفل آخر,0,3.3,A baby is sneezing and scaring another baby,A baby is cheering another baby
فتاة ترتدي اللون الأرجواني والأزرق تسير بجوار دراجتها ليلاً,فتاة ترتدي اللون الأرجواني والأزرق تسير ببطء بجانب دراجتها ليلاً,1,4.3,A girl dressed in purple and blue is slowly walking beside her bike at night,A girl dressed in purple and blue is walking beside her bike at night
وهناك لاعب يلعب  بالكرة ,فريقين يتنافسون في لعبة البيسبول,0,3.0,Two teams are competing in a baseball game,A player is running with the ball
وحيد القرن الصغير يلاحق وحيد القرن البالغ,وحيد القرن الصغير يتجنب وحيد القرن البالغ,2,3.5,A baby rhino is shunning an adult rhino,A baby rhino is following an adult rhino
طفل يزحف بسعادة,الطفل يتدلى بسعادة,0,3.9,A baby is toddling happily,A baby is crawling happily
شخص يركب حصانًا,مرأة تقطع البطاطا,0,1.0,A woman is slicing potatoes,A person is riding a horse
امرأة تغسل قدميها,امرأة تقطع بصلة,0,1.0,A woman is chopping an onion,A woman is washing her feet
الشخص يقف على الجليد الأبيض,الشخص لا يقف على الجليد الأبيض,2,3.6,The person is not standing on white ice,The person is standing on white ice
إحدى النساء تضرب بيضتين في الوعاء وتستخدم خفاقة مصنوعة من الأسلاك,شخص يخفق البيض بقوة في وعاء,2,3.0,A person is strongly whisking eggs in a bowl,There is no woman beating two eggs in a bowl and using a whisk made of wire
طفل يبكي,طفل يضحك,0,3.1,A baby is laughing,A baby is crying
شخص يقطع شجرة بفأس, رجل قطع شجرة بفأس,1,4.6,A man is cutting a tree with an axe,A person is chopping down a tree with an axe
مجموعة من الناس على جبل ,رجل وامرأة وفتاتين كانوا يسيرون على الشاطئ,0,1.4,"A man, a woman and two girls are walking on the beach",A group of people is on a mountain
رجل يركب الحصان,رجل يقود سيارة,0,2.9,A man is driving a car,A man is riding a horse
كلب أسود يركض على العشب,كلب أسود يركض على العشب,1,5.0,"A dog, which is black, is running in the grass",A black dog is running in the grass
طفل متسلق ينقذ القطة المخيفة من فوق الحائط,صبي يتسلق جدارًا مصنوعًا بشكل اصطناعي للتسلق ومثبت بحبل,0,2.2,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall
رجل يغني ,رجل يغني بحماس,1,4.8,A man is singing passionately,A man is singing
ثلاثة أصدقاء يصنعون وجوهًا لالتقاط صورة,ثلاثة أصدقاء يصنعون وجوهًا للكاميرا,1,5.0,Three friends are making faces for the camera,Three friends are making faces for a photo
صبي يقفز على الحبل على رصيف بالقرب من مرآب للسيارات,فتاة تنط الحبل على الرصيف,0,3.8,A girl is skipping rope on a sidewalk,A boy is jumping rope on a sidewalk near a parking garage
امرأة ترتدي قميصًا أسود تقف في صالة الألعاب الرياضية,رجل يرتدي قميصًا أسود يقف في صالة الألعاب الرياضية,0,3.5,A man in a black jersey is standing in a gym,A woman in a black jersey is standing in a gym
رجل يرسم لوحة,الرجل يقترب,0,3.9,The man is drawing,The man is painting
أربعة أشخاص يعزفون الموسيقى في الهواء الطلق,يتم عزف الموسيقى من قبل أربعة أشخاص في الهواء الطلق,1,4.9,Music is being performed by four people outdoors,Four people are performing music outdoors
الشخص يسير في الماء,رجل يسير في الماء,1,4.5,The man is going into the water,The person is going into the water
شخص  يستمع إلى عزف البوق,رجل يعزف على الغيتار,0,1.5,A man is playing the guitar,A person is listening to a trumpet playing
رجل يقف أعلى صخرة فوق بعض الأشجار بوضع غير مريح, مسافر يرقص على قمة الجبل,0,2.5,A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position
إحدى النساء تضرب بيضتين في الوعاء وتستخدم خفاقة مصنوعة من الأسلاك,امرأة تضرب بيضتين في وعاء وتستخدم خفاقة مصنوعة من الأسلاك,2,4.0,A woman is beating two eggs in a bowl and using a whisk made of wire,There is no woman beating two eggs in a bowl and using a whisk made of wire
